January,February,March,April,May,June,July,August,September,October,November,December
6.95E-06,7.09E-02,0.246951,6.45E-02,7.35E-06,1.83E-05,1.28E-01,1.49E-05,1.05E-01,2.21E-01,0.000177522,2.33E-05
0.0438078,1.64E-02,0.0134672,0.634132,0.0431391,1.13E-01,0.171881,1.39E-01,0.0301425,0.0336342,0.0268831,1.97E-02
2.73E-05,5.98E-02,0.0313534,0.0817364,0.205524,0.160243,1.14E-05,0.0262959,0.241597,7.36E-03,0.0216863,2.60E-05
2.46E-02,3.01E-05,4.01E-02,0.118885,0.103414,6.75E-05,0.0987723,0.00648122,0.105455,8.96E-03,0.13209,0.132915
1.95E-01,1.14E-01,0.127933,8.60E-05,0.123501,2.98E-02,0.163642,0.0375859,2.67E-02,0.0824517,0.0391342,7.27E-05
0.101615,2.72E-05,1.74E-02,1.92E-05,6.90E-01,0.0344915,0.129449,1.09E-01,0.300889,2.34E-05,0.605376,0.0090235
5.77E-03,5.11E-02,5.12E-02,2.22E-07,3.13E-06,4.65E-02,1.51E-05,2.16E-01,0.043405,3.99E-01,0.138422,5.89E-02
1.40E-02,0.124331,0.122737,5.70E-06,0.0128113,0.137423,2.97E-06,0.013189,1.95E-01,2.88E-02,1.86E-01,0.120957
0.171104,0.0574554,9.23E-02,0.139286,2.51E-01,0.0912055,1.30E-01,1.30E-01,1.02E+00,2.81E-04,3.17E-02,1.40E-01
0.000801601,1.52E-05,0.165594,5.40E-01,8.53E-05,0.490913,9.30E-06,0.110445,0.0231333,3.64E-02,6.39E-05,0.0169237
1.32E-01,0.0567289,0.0347663,1.57E-01,3.03E-02,3.38E-02,0.116887,0.178355,2.52E-01,0.0117185,6.09E-02,0.000140101
2.47E-01,5.05E-05,3.48E-05,1.85E-04,1.98E-05,1.30E-01,1.17E-05,0.130515,0.854608,3.65E-02,4.96E-05,0.0201219
6.14E-02,0.0823417,8.32E-02,1.66E-01,0.0086245,3.83E-02,5.10E-02,0.139269,1.73E-05,3.37E-02,0.0865349,0.0964586
0.0552352,0.184225,4.44E-02,4.28E-02,2.10E-03,2.39E-05,1.54E-05,1.31E-01,0.00180896,0.640857,6.76E-05,0.213078
1.38E-02,0.0884972,1.20E-01,0.112759,3.61E-05,0.00914142,0.0177307,6.91E-02,0.44619,0.0261738,0.0949856,0.143935
0.136501,1.34E-05,0.150945,1.32E-01,5.29E-06,0.0292031,1.35E-05,2.25E-01,0.0393835,1.10E-01,0.175117,9.44E-02
4.41E-02,5.09E-05,7.30E-02,3.84E-02,7.22E-06,0.12958,0.0339016,0.0238129,6.20E-05,0.200768,6.94E-06,1.13E-01
6.34E-05,0.0489731,0.0141167,0.110322,0.11853,0.105473,5.29E-02,0.0653624,1.42E-02,0.0156523,4.00E-05,2.38E-02
0.115793,0.243129,2.08E-05,0.0353732,0.0918448,8.50E-02,3.85E-05,0.145297,0.123716,0.0587588,0.0868633,1.20E-01
1.73E-01,8.36E-02,7.03E-06,6.22E-02,3.69E-05,0.215368,2.76E-05,0.0348639,0.00412714,2.14E-01,0.987826,4.22E-02
7.26E-02,0.206256,0.14172,1.70E-02,1.28E-01,1.41E-01,0.997935,4.37E-02,8.58E-06,0.0333338,0.000165407,0.113676
1.35E-01,9.09E-05,0.0329579,0.070647,8.24E-02,0.242066,0.0174265,2.33E-06,0.181732,3.05E-05,0.0194203,0.162145
8.06E-02,0.415467,5.99E-02,6.86E-06,1.04E-05,0.121743,2.44E-05,0.00596778,1.15E-05,0.063783,1.18E-01,0.0283101
0.119147,0.128621,8.56E-02,0.0298916,2.86E-02,0.139057,1.06E-05,1.19E-01,0.00856147,1.55E-01,1.82E-01,0.0992725
0.132642,0.087371,1.29E-02,7.09E-01,2.58E-02,1.99E-04,0.00855972,3.60E-05,6.19E-05,1.72E-01,1.07E-02,8.57E-05
1.28E-01,3.07E-05,0.11619,0.103491,0.100451,0.0745037,0.0602464,2.14E-05,0.175751,0.205386,8.38E-05,0.000100966
0.000107163,2.93E-05,0.0615566,4.05E-02,5.46E-02,0.000335073,0.0403071,2.84E-05,0.110481,4.87E-02,1.01E-03,1.86E-05
1.42E-02,4.63E-05,8.33E-05,2.17E-05,1.24E-04,7.12E-05,0.00922215,2.47E-01,8.76E-06,1.82E-05,2.11E-02,2.70E-06
2.11E-01,0.137654,0.0132666,0.0674396,1.64E-02,0.124102,0.092933,1.22E-05,0.101139,3.17E-02,2.26E-02,4.01E-02
1.76E-01,0.123237,0.271325,0.000577471,0.0144397,2.00E-05,0.122521,0.221263,0.203845,0.118167,0.000142695,0.169437
0.0429798,1.43E-01,0.0153998,1.26E-01,0.358752,0.186137,0.0947609,1.25E-01,1.70E-01,1.65E-05,1.18E-05,1.54E-02
