"","October","November","December","January","February","March","April","May","June","July","August","September"
"8100",64140.5603884472,158834.581943777,185597.54381596,142039.993597482,107229.485474812,86414.6481028687,146414.856963987,61455.4193797574,136204.175315557,144342.836523693,62060.9783491031,107072.878627598
"8101",544273.181420813,278955.254818635,517623.290257999,355987.368891633,250165.734142263,407192.957901731,866285.018960759,177632.222271245,302454.350747633,467574.382402341,306472.116125268,195000.571747277
"8102",666667.512062078,707111.218716301,1014610.02987609,765954.053493548,591885.137452214,1067571.81251249,1201272.44190868,763408.328001268,414494.064785373,1154363.4106752,815155.172202043,947746.978791251
"8103",1271943.75375404,1195475.04613585,1235212.84162672,848020.22603544,1103863.51477938,1045308.52610576,1329118.82102182,1004630.83023575,1634006.77240183,1119565.09803238,936390.199601546,1175547.47770279
"8104",997361.556986293,1598760.59847246,954923.407893615,755667.671516686,892066.884381982,1100618.24830976,811852.008224832,1505024.39318422,857890.739065532,917997.672047842,1104633.52290841,984923.8877979
"8105",742409.498819517,611915.342848567,956023.48688212,808950.971879657,911153.525275512,690028.32888114,784935.999121035,756312.492757029,723891.475198081,723935.098143412,625502.241253102,749097.1342604
"8106",319611.77718631,413309.72405373,436555.656987356,374737.885159075,562215.357342076,432391.226066948,360560.230279391,285415.743675164,491127.355682287,316297.261374717,274675.372123917,458715.908526421
"8107",303226.228331219,146632.109683539,287463.066583912,226391.779121783,231376.130500914,243284.565322384,259298.616606098,256355.848308017,404564.225770412,283379.398334438,264399.267324031,323671.916942797
"8108",164540.455873035,180746.366123613,187125.66911924,117623.650640449,170845.873334433,190492.60803567,173082.262323162,227252.190976241,182827.710940272,146514.298186707,186863.32682985,160080.52074504
"8109",144295.518244262,142018.182526189,125480.327209479,133888.270796342,134338.00999028,190529.128381386,162740.912292923,131115.617820124,117271.528029325,104881.79394734,166948.300491148,88100.5348200506
"8110",102404.206548778,74253.972144702,109116.348407959,121841.919581178,95460.5176509122,140605.255563185,88877.0267154669,92120.7063868345,109613.368754202,114994.898715592,98939.5049968145,77349.0080668915
"8111",200170.234502217,93943.1236147064,137340.983430242,149243.51369671,109018.494240934,250244.772875398,186401.967074061,97246.9841004981,143222.619849191,86706.6223857732,213090.446839404,137691.15575231
"8112",103140.793871377,49275.2540774101,83242.1598149214,116739.505030272,109278.33816275,80415.8268495902,89155.2811137093,70164.2873854962,62892.4194197979,109164.297090481,112751.83704565,59569.1042449774
"8113",425255.851795922,266741.132148761,180964.219606432,234402.015891644,408753.179219485,553796.617149601,586946.534975297,374904.828772307,459378.509274321,419421.265626957,255621.525047154,456066.842064391
"8114",819617.314145357,1368544.57169392,803003.957870678,640089.764509996,1199690.81770696,930304.330774232,904113.685943674,804999.116565688,1568203.39294651,1032312.07870613,911816.009573361,770268.362750251
"8115",998965.234425428,947392.053584298,795795.456109938,931220.003096216,1489124.82934974,1046655.45828482,1468131.87279191,1007022.08431901,999285.509364152,1010667.68257699,1866412.83870634,895203.515333613
